,Date,O,H,L,C,Volume,Market Cap,trendIndex,O -1,H -1,L -1,C -1,Volume -1,Market Cap -1,trendIndex -1,O -2,H -2,L -2,C -2,Volume -2,Market Cap -2,trendIndex -2,O -3,H -3,L -3,C -3,Volume -3,Market Cap -3,trendIndex -3,O -4,H -4,L -4,C -4,Volume -4,Market Cap -4,trendIndex -4,O -5,H -5,L -5,C -5,Volume -5,Market Cap -5,trendIndex -5,O -6,H -6,L -6,C -6,Volume -6,Market Cap -6,trendIndex -6,O -7,H -7,L -7,C -7,Volume -7,Market Cap -7,trendIndex -7,O -8,H -8,L -8,C -8,Volume -8,Market Cap -8,trendIndex -8,O -9,H -9,L -9,C -9,Volume -9,Market Cap -9,trendIndex -9,O -10,H -10,L -10,C -10,Volume -10,Market Cap -10,trendIndex -10
10,05/25/18,7592.3,7659.14,7392.65,7480.14,4867830000,129470000000,11.0,31.18000000000029,-79.46000000000004,61.50999999999931,-107.19999999999982,-1181390000.0,545000000.0,1.0,-444.77999999999975,-395.5199999999995,-115.23000000000047,-77.67999999999938,-1623290000.0,-7554000000.0,4.0,-827.5700000000006,-764.1099999999997,-611.9300000000003,-561.6399999999994,-269180000.0,-14064000000.0,4.0,-930.0299999999997,-898.3800000000001,-972.4700000000012,-938.8499999999995,-287160000.0,-15794000000.0,3.0,-654.6899999999996,-903.2699999999995,-812.5900000000001,-1033.1099999999997,-323230000.0,-11086000000.0,3.0,-663.4299999999994,-712.9199999999992,-790.7000000000007,-767.04,155430000.0,-11219000000.0,2.0,-499.52999999999975,-614.9800000000005,-582.1700000000001,-770.829999999999,-896360000.0,-8411000000.0,2.0,-777.7499999999991,-786.4000000000005,-661.4700000000003,-614.1799999999994,-994700000.0,-13138000000.0,-1.0,-912.1099999999997,-849.29,-782.8400000000001,-888.6899999999996,-1892390000.0,-15408000000.0,4.0,-1112.8900000000003,-1177.0500000000002,-1063.800000000001,-1030.2399999999989,-1837880000.0,-18813000000.0,-3.0
11,05/24/18,7561.12,7738.6,7331.14,7587.34,6049220000,128925000000,10.0,-475.96000000000004,-316.0599999999995,-176.73999999999978,29.520000000000437,-441900000.0,-8099000000.0,3.0,-858.7500000000009,-684.6499999999996,-673.4399999999996,-454.4399999999996,912210000.0,-14609000000.0,3.0,-961.21,-818.9200000000001,-1033.9800000000005,-831.6499999999996,894230000.0,-16339000000.0,2.0,-685.8699999999999,-823.8099999999995,-874.0999999999995,-925.9099999999999,858160000.0,-11631000000.0,2.0,-694.6099999999997,-633.4599999999991,-852.21,-659.8400000000001,1336820000.0,-11764000000.0,1.0,-530.71,-535.5200000000004,-643.6799999999994,-663.6299999999992,285030000.0,-8956000000.0,1.0,-808.9299999999994,-706.9400000000005,-722.9799999999996,-506.97999999999956,186690000.0,-13683000000.0,-2.0,-943.29,-769.8299999999999,-844.3499999999995,-781.4899999999998,-711000000.0,-15953000000.0,3.0,-1144.0700000000006,-1097.5900000000001,-1125.3100000000004,-923.039999999999,-656490000.0,-19358000000.0,-4.0,-1151.9800000000005,-1142.5200000000004,-1036.829999999999,-1129.4500000000007,-1314930000.0,-19478000000.0,1.0
12,05/23/18,8037.08,8054.66,7507.88,7557.82,6491120000,137024000000,7.0,-382.7900000000009,-368.59000000000015,-496.6999999999998,-483.96000000000004,1354110000.0,-6510000000.0,0.0,-485.25,-502.8600000000006,-857.2400000000007,-861.1700000000001,1336130000.0,-8240000000.0,-1.0,-209.90999999999985,-507.75,-697.3599999999997,-955.4300000000003,1300060000.0,-3532000000.0,-1.0,-218.64999999999964,-317.39999999999964,-675.4700000000003,-689.3600000000006,1778720000.0,-3665000000.0,-2.0,-54.75,-219.46000000000095,-466.9399999999996,-693.1499999999996,726930000.0,-857000000.0,-2.0,-332.96999999999935,-390.880000000001,-546.2399999999998,-536.5,628590000.0,-5584000000.0,-5.0,-467.3299999999999,-453.77000000000044,-667.6099999999997,-811.0100000000002,-269100000.0,-7854000000.0,0.0,-668.1100000000006,-781.5300000000007,-948.5700000000006,-952.5599999999995,-214590000.0,-11259000000.0,-7.0,-676.0200000000004,-826.460000000001,-860.0899999999992,-1158.9700000000012,-873030000.0,-11379000000.0,-2.0,-478.40999999999985,-718.8899999999994,-887.2400000000007,-1166.1200000000008,624740000.0,-7998000000.0,-3.0
13,05/22/18,8419.87,8423.25,8004.58,8041.78,5137010000,143534000000,7.0,-102.45999999999913,-134.27000000000044,-360.5400000000009,-377.21000000000004,-17980000.0,-1730000000.0,-1.0,172.88000000000102,-139.15999999999985,-200.65999999999985,-471.47000000000025,-54050000.0,2978000000.0,-1.0,164.14000000000124,51.19000000000051,-178.77000000000044,-205.40000000000055,424610000.0,2845000000.0,-2.0,328.0400000000009,149.1299999999992,29.76000000000022,-209.1899999999996,-627180000.0,5653000000.0,-2.0,49.82000000000153,-22.290000000000873,-49.539999999999964,-52.539999999999964,-725520000.0,926000000.0,-5.0,-84.53999999999905,-85.18000000000029,-170.90999999999985,-327.0500000000002,-1623210000.0,-1344000000.0,0.0,-285.3199999999997,-412.9400000000005,-451.8700000000008,-468.59999999999945,-1568700000.0,-4749000000.0,-7.0,-293.22999999999956,-457.8700000000008,-363.3899999999994,-675.0100000000011,-2227140000.0,-4869000000.0,-2.0,-95.61999999999898,-350.2999999999993,-390.5400000000009,-682.1600000000008,-729370000.0,-1488000000.0,-3.0,-21.56999999999971,-241.61000000000058,-218.92000000000007,-463.1099999999997,-1684370000.0,-209000000.0,2.0
14,05/21/18,8522.33,8557.52,8365.12,8418.99,5154990000,145264000000,8.0,275.34000000000015,-4.889999999999418,159.88000000000102,-94.26000000000022,-36070000.0,4708000000.0,0.0,266.60000000000036,185.46000000000095,181.77000000000044,171.8099999999995,442590000.0,4575000000.0,-1.0,430.5,283.39999999999964,390.3000000000011,168.02000000000044,-609200000.0,7383000000.0,-1.0,152.28000000000065,111.97999999999956,311.0000000000009,324.6700000000001,-707540000.0,2656000000.0,-4.0,17.920000000000073,49.090000000000146,189.63000000000102,50.159999999999854,-1605230000.0,386000000.0,1.0,-182.86000000000058,-278.6700000000001,-91.32999999999993,-91.38999999999942,-1550720000.0,-3019000000.0,-6.0,-190.77000000000044,-323.60000000000036,-2.849999999998545,-297.8000000000011,-2209160000.0,-3139000000.0,-1.0,6.8400000000001455,-216.02999999999884,-30.0,-304.9500000000007,-711390000.0,242000000.0,-2.0,80.88999999999942,-107.34000000000015,141.6200000000008,-85.89999999999964,-1666390000.0,1521000000.0,3.0,-530.6299999999992,-495.4399999999987,-29.339999999998327,-22.5,-3333530000.0,-8878000000.0,3.0
15,05/20/18,8246.99,8562.41,8205.24,8513.25,5191060000,140556000000,8.0,-8.739999999999782,190.35000000000036,21.889999999999418,266.0699999999997,478660000.0,-133000000.0,-1.0,155.15999999999985,288.28999999999905,230.42000000000007,262.28000000000065,-573130000.0,2675000000.0,-1.0,-123.05999999999949,116.86999999999898,151.1199999999999,418.9300000000003,-671470000.0,-2052000000.0,-4.0,-257.4200000000001,53.97999999999956,29.75,144.42000000000007,-1569160000.0,-4322000000.0,1.0,-458.2000000000007,-273.78000000000065,-251.21000000000095,2.8700000000008004,-1514650000.0,-7727000000.0,-6.0,-466.1100000000006,-318.71000000000095,-162.72999999999956,-203.54000000000087,-2173090000.0,-7847000000.0,-1.0,-268.5,-211.13999999999942,-189.88000000000102,-210.6900000000005,-675320000.0,-4466000000.0,-2.0,-194.45000000000073,-102.45000000000073,-18.26000000000022,8.360000000000582,-1630320000.0,-3187000000.0,3.0,-805.9699999999993,-490.5499999999993,-189.21999999999935,71.76000000000022,-3297460000.0,-13586000000.0,3.0,-1078.9699999999993,-833.630000000001,-835.2800000000007,-530.6900000000005,-1715640000.0,-18216000000.0,2.0
16,05/19/18,8255.73,8372.06,8183.35,8247.18,4712400000,140689000000,9.0,163.89999999999964,97.93999999999869,208.53000000000065,-3.789999999999054,-1051790000.0,2808000000.0,0.0,-114.31999999999971,-73.48000000000138,129.23000000000047,152.86000000000058,-1150130000.0,-1919000000.0,-3.0,-248.6800000000003,-136.3700000000008,7.860000000000582,-121.64999999999964,-2047820000.0,-4189000000.0,2.0,-449.46000000000095,-464.130000000001,-273.10000000000036,-263.1999999999989,-1993310000.0,-7594000000.0,-5.0,-457.3700000000008,-509.0600000000013,-184.61999999999898,-469.6100000000006,-2651750000.0,-7714000000.0,0.0,-259.7600000000002,-401.4899999999998,-211.77000000000044,-476.7600000000002,-1153980000.0,-4333000000.0,-1.0,-185.71000000000095,-292.8000000000011,-40.149999999999636,-257.7099999999991,-2108980000.0,-3054000000.0,4.0,-797.2299999999996,-680.8999999999996,-211.10999999999876,-194.3099999999995,-3776120000.0,-13453000000.0,4.0,-1070.2299999999996,-1023.9800000000014,-857.1700000000001,-796.7600000000002,-2194300000.0,-18083000000.0,3.0,-968.0,-1002.7000000000007,-848.2700000000004,-1078.0,-2514490000.0,-16324000000.0,-1.0
17,05/18/18,8091.83,8274.12,7974.82,8250.97,5764190000,137881000000,9.0,-278.21999999999935,-171.42000000000007,-79.30000000000018,156.64999999999964,-98340000.0,-4727000000.0,-3.0,-412.5799999999999,-234.3099999999995,-200.67000000000007,-117.86000000000058,-996030000.0,-6997000000.0,2.0,-613.3600000000006,-562.0699999999997,-481.630000000001,-259.40999999999985,-941520000.0,-10402000000.0,-5.0,-621.2700000000004,-607.0,-393.14999999999964,-465.8200000000015,-1599960000.0,-10522000000.0,0.0,-423.65999999999985,-499.4299999999985,-420.3000000000011,-472.97000000000116,-102190000.0,-7141000000.0,-1.0,-349.6100000000006,-390.7399999999998,-248.6800000000003,-253.92000000000007,-1057190000.0,-5862000000.0,4.0,-961.1299999999992,-778.8399999999983,-419.6399999999994,-190.52000000000044,-2724330000.0,-16261000000.0,4.0,-1234.1299999999992,-1121.92,-1065.7000000000007,-792.9700000000012,-1142510000.0,-20891000000.0,3.0,-1131.8999999999996,-1100.6399999999994,-1056.800000000001,-1074.210000000001,-1462700000.0,-19132000000.0,-1.0,-1289.0400000000009,-1188.6299999999992,-1152.9500000000007,-983.8500000000004,-1651680000.0,-21791000000.0,4.0
18,05/17/18,8370.05,8445.54,8054.12,8094.32,5862530000,142608000000,12.0,-134.36000000000058,-62.88999999999942,-121.36999999999989,-274.5100000000002,-897690000.0,-2270000000.0,5.0,-335.14000000000124,-390.64999999999964,-402.33000000000084,-416.0599999999995,-843180000.0,-5675000000.0,-2.0,-343.0500000000011,-435.5799999999999,-313.84999999999945,-622.4700000000012,-1501620000.0,-5795000000.0,3.0,-145.4400000000005,-328.0099999999984,-341.0000000000009,-629.6200000000008,-3850000.0,-2414000000.0,2.0,-71.39000000000124,-219.3199999999997,-169.3800000000001,-410.5699999999997,-958850000.0,-1135000000.0,7.0,-682.9099999999999,-607.4199999999983,-340.33999999999924,-347.1700000000001,-2625990000.0,-11534000000.0,7.0,-955.9099999999999,-950.5,-986.4000000000005,-949.6200000000008,-1044170000.0,-16164000000.0,6.0,-853.6800000000003,-929.2199999999993,-977.5000000000009,-1230.8600000000006,-1364360000.0,-14405000000.0,2.0,-1010.8200000000015,-1017.2099999999991,-1073.6500000000005,-1140.5,-1553340000.0,-17064000000.0,7.0,-1275.6200000000008,-1220.3099999999995,-1177.4100000000008,-1278.6900000000005,-1531490000.0,-21553000000.0,6.0
19,05/16/18,8504.41,8508.43,8175.49,8368.83,6760220000,144878000000,7.0,-200.78000000000065,-327.7600000000002,-280.96000000000095,-141.54999999999927,54510000.0,-3405000000.0,-7.0,-208.6900000000005,-372.6900000000005,-192.47999999999956,-347.96000000000095,-603930000.0,-3525000000.0,-2.0,-11.079999999999927,-265.119999999999,-219.63000000000102,-355.1100000000006,893840000.0,-144000000.0,-3.0,62.969999999999345,-156.4300000000003,-48.01000000000022,-136.0599999999995,-61160000.0,1135000000.0,2.0,-548.5499999999993,-544.5299999999988,-218.96999999999935,-72.65999999999985,-1728300000.0,-9264000000.0,2.0,-821.5499999999993,-887.6100000000006,-865.0300000000007,-675.1100000000006,-146480000.0,-13894000000.0,1.0,-719.3199999999997,-866.3299999999999,-856.130000000001,-956.3500000000004,-466670000.0,-12135000000.0,-3.0,-876.460000000001,-954.3199999999997,-952.2800000000007,-865.9899999999998,-655650000.0,-14794000000.0,2.0,-1141.2600000000002,-1157.42,-1056.0400000000009,-1004.1800000000003,-633800000.0,-19283000000.0,1.0,-1340.8999999999996,-1431.7099999999991,-1289.7600000000002,-1285.9699999999993,-462060000.0,-22663000000.0,0.0
20,05/15/18,8705.19,8836.19,8456.45,8510.38,6705710000,148283000000,14.0,-7.9099999999998545,-44.93000000000029,88.48000000000138,-206.41000000000167,-658440000.0,-120000000.0,5.0,189.70000000000073,62.64000000000124,61.32999999999993,-213.5600000000013,839330000.0,3261000000.0,4.0,263.75,171.32999999999993,232.95000000000073,5.489999999999782,-115670000.0,4540000000.0,9.0,-347.7699999999986,-216.76999999999862,61.9900000000016,68.88999999999942,-1782810000.0,-5859000000.0,9.0,-620.7699999999986,-559.8500000000004,-584.0699999999997,-533.5600000000013,-200990000.0,-10489000000.0,8.0,-518.539999999999,-538.5699999999997,-575.1700000000001,-814.8000000000011,-521180000.0,-8730000000.0,4.0,-675.6800000000003,-626.5599999999995,-671.3199999999997,-724.4400000000005,-710160000.0,-11389000000.0,9.0,-940.4799999999996,-829.6599999999999,-775.0799999999999,-862.630000000001,-688310000.0,-15878000000.0,8.0,-1140.119999999999,-1103.949999999999,-1008.7999999999993,-1144.42,-516570000.0,-19258000000.0,7.0,-995.0900000000001,-1128.3099999999995,-1238.67,-1347.7700000000004,-946230000.0,-16772000000.0,6.0
21,05/14/18,8713.1,8881.12,8367.97,8716.79,7364150000,148403000000,9.0,197.61000000000058,107.57000000000153,-27.150000000001455,-7.149999999999636,1497770000.0,3381000000.0,-1.0,271.65999999999985,216.26000000000022,144.46999999999935,211.90000000000146,542770000.0,4660000000.0,4.0,-339.85999999999876,-171.83999999999833,-26.48999999999978,275.3000000000011,-1124370000.0,-5739000000.0,4.0,-612.8599999999988,-514.9200000000001,-672.5500000000011,-327.14999999999964,457450000.0,-10369000000.0,3.0,-510.6299999999992,-493.6399999999994,-663.6500000000015,-608.3899999999994,137260000.0,-8610000000.0,-1.0,-667.7700000000004,-581.6299999999992,-759.8000000000011,-518.0299999999988,-51720000.0,-11269000000.0,4.0,-932.5699999999997,-784.7299999999996,-863.5600000000013,-656.2199999999993,-29870000.0,-15758000000.0,3.0,-1132.2099999999991,-1059.0199999999986,-1097.2800000000007,-938.0099999999984,141870000.0,-19138000000.0,2.0,-987.1800000000003,-1083.3799999999992,-1327.1500000000015,-1141.3599999999988,-287790000.0,-16652000000.0,1.0,-982.3999999999996,-898.0799999999999,-1217.9899999999998,-983.9699999999993,-853680000.0,-16553000000.0,1.0
